post_id,title,category,score,num_comments,author,collected_at
47695012,USB for Software Developers: An introduction to writing userspace USB drivers,technology,219,29,WerWolv,2026-04-09T04:00:57.898220
47687273,Git commands I run before reading any code,technology,1868,395,grepsedawk,2026-04-09T04:00:58.415687
47689237,US cities are axing Flock Safety surveillance technology,technology,658,385,giuliomagnifico,2026-04-09T04:00:59.610521
47674606,Show HN: Unicode Steganography,technology,47,14,PatrickVuscan,2026-04-09T04:01:00.521819
47656518,Your File System Is Already A Graph Database,technology,164,71,alxndr,2026-04-09T04:01:00.617421
47679121,Project Glasswing: Securing critical software for the AI era,technology,1483,797,Ryan5453,2026-04-09T04:01:01.514452
47624572,A database of analog cameras that can be 3D printed,technology,156,26,thomasjb,2026-04-09T04:01:02.605443
47696210,AMD AI director says Claude Code is becoming dumber and lazier since update,technology,32,9,Logans_Run,2026-04-09T04:01:04.016159
47696336,Show HN: I built a local data lake for AI powered data engineering and analytics,technology,8,4,vpfaiz,2026-04-09T04:01:05.038323
47675625,Cloudflare targets 2029 for full post-quantum security,technology,378,112,ilreb,2026-04-09T04:01:06.358586
47691313,"Databricks co-founder wins prestigious ACM award, says 'AGI is here already'",technology,7,3,salkahfi,2026-04-09T04:01:06.455917
47675013,Dropping Cloudflare for Bunny.net,technology,409,204,shintoist,2026-04-09T04:01:07.797676
47673005,We found an undocumented bug in the Apollo 11 guidance computer code,technology,427,199,henrygarner,2026-04-09T04:01:08.182682
47697711,The World Needs More Software Engineers – Box CEO,technology,7,3,alwinaugustin,2026-04-09T04:01:10.063423
47694303,The demise of software engineering jobs has been greatly exaggerated,technology,17,4,ryan_j_naughton,2026-04-09T04:01:10.358231
47660925,Issue: Claude Code is unusable for complex engineering tasks with Feb updates,technology,1324,737,StanAngeloff,2026-04-09T04:01:10.751152
47641528,Apollo Guidance Computer restoration videos,technology,89,11,mariuz,2026-04-09T04:01:11.700945
47688582,Show HN: Voxcode: local speech to text and ripgrep = transcript and code context,technology,7,2,jensneuse,2026-04-09T04:01:12.292404
47655367,"Show HN: Gemma Gem – AI model embedded in a browser – no API keys, no cloud",technology,154,22,ikessler,2026-04-09T04:01:14.610376
47649742,Nanocode: The best Claude Code that $200 can buy in pure JAX on TPUs,technology,218,26,desideratum,2026-04-09T04:01:16.125597
47633396,Tell HN: Anthropic no longer allowing Claude Code subscriptions to use OpenClaw,technology,1097,828,firloop,2026-04-09T04:01:17.346978
47664205,Adobe modifies hosts file to detect whether Creative Cloud is installed,technology,332,166,rglullis,2026-04-09T04:01:17.641958
47655466,Employers use your personal data to figure out the lowest salary you'll accept,technology,456,289,thisislife2,2026-04-09T04:01:17.884461
47651540,Running Gemma 4 locally with LM Studio's new headless CLI and Claude Code,technology,403,101,vbtechguy,2026-04-09T04:01:18.446942
47637757,Embarrassingly simple self-distillation improves code generation,technology,653,200,Anon84,2026-04-09T04:01:20.466964
47692043,Muse Spark: Scaling towards personal superintelligence,worldnews,293,304,chabons,2026-04-09T04:01:21.094530
47677853,GLM-5.1: Towards Long-Horizon Tasks,worldnews,608,251,zixuanlimit,2026-04-09T04:01:25.866515
47695647,The AI Great Leap Forward,worldnews,83,40,jodah,2026-04-09T04:01:26.915846
47680124,IPv6 is the only way forward,worldnews,96,289,quaintdev,2026-04-09T04:01:27.950668
47676557,Moving fast in hardware: lessons from lab to $100M ARR,worldnews,112,26,rryan,2026-04-09T04:01:28.898344
47670981,"Three hundred synths, 3 hardware projects, and one app",worldnews,121,19,ductionist,2026-04-09T04:01:30.969255
47660954,German police name alleged leaders of GandCrab and REvil ransomware groups,worldnews,322,158,Bender,2026-04-09T04:01:34.742954
47690049,Amazon rewards loyal Kindle devotees by closing the book on old e-readers,worldnews,33,22,beardyw,2026-04-09T04:01:34.969397
47629021,Global Physics Photowalk: 2025 winners revealed,worldnews,26,1,ibobev,2026-04-09T04:01:35.569997
47693799,Food shock is inevitable due to the Iran war,worldnews,13,2,measurablefunc,2026-04-09T04:01:35.879904
47662945,Show HN: GovAuctions lets you browse government auctions at once,worldnews,315,90,player_piano,2026-04-09T04:01:36.616911
47683613,ICE acknowledges it is using powerful spyware,worldnews,66,8,dnemmers,2026-04-09T04:01:37.218971
47692291,"Digital Hopes, Real Power: How the Arab Spring Fueled a Global Surveillance Boom",worldnews,12,0,hn_acker,2026-04-09T04:01:37.808034
47677952,The Blueprint of a North Korean Attack on Open-Source,worldnews,29,11,brene,2026-04-09T04:01:39.264323
47647788,The threat is comfortable drift toward not understanding what you're doing,worldnews,976,620,zaikunzhang,2026-04-09T04:01:40.180754
47691860,Supply chain nightmare: How Rust will be attacked and how to mitigate attacks,worldnews,10,0,randomint64,2026-04-09T04:01:42.353972
47686058,Inside a huge compound where 10k workers scammed people globally,worldnews,8,0,ece,2026-04-09T04:01:49.573968
47695585,Anthropic's Restraint Is a Terrifying Warning Sign,worldnews,9,0,jaredwiener,2026-04-09T04:01:52.060098
47686106,Japan relaxes privacy laws to make itself the 'easiest country to develop AI',worldnews,14,3,jeffbobries,2026-04-09T04:01:52.765029
47680611,"Iranian hackers launching disruptive attacks at U.S. energy, water targets [pdf]",worldnews,32,6,lschueller,2026-04-09T04:01:54.182604
47675835,Wireless Festival cancelled after government stops Kanye West entering UK,worldnews,13,1,manarth,2026-04-09T04:01:56.133258
47627419,The Axios supply chain attack used individually targeted social engineering,worldnews,47,12,cmitsakis,2026-04-09T04:01:56.507954
47625311,Bun: cgroup-aware AvailableParallelism / HardwareConcurrency on Linux,worldnews,45,24,tosh,2026-04-09T04:01:57.732668
47645817,How Pope Leo is pushing back on divine justification of war,worldnews,77,42,1659447091,2026-04-09T04:01:59.744991
47689165,"Show HN: I pipe free sports streams into Jellyfin – no ads, just HLS",sports,95,29,pruz,2026-04-09T04:02:03.530237
47654629,The Harvard Library Passport,sports,39,15,fi-le,2026-04-09T04:02:07.024316
47689550,"LLM plays an 8-bit Commander X16 game using structured ""smart senses""",sports,15,0,russellharper,2026-04-09T04:02:07.099319
47672778,Breaking the console: a brief history of video game security,sports,95,26,sprado,2026-04-09T04:02:10.123886
47661065,"The team behind a pro-Iran, Lego-themed viral-video campaign",sports,165,260,tantalor,2026-04-09T04:02:12.126059
47664186,"Battle for Wesnoth: open-source, turn-based strategy game",sports,537,163,akyuu,2026-04-09T04:02:13.833808
47656501,The 1987 game “The Last Ninja” was 40 kilobytes,sports,306,191,keepamovin,2026-04-09T04:02:15.764208
47640728,Show HN: A game where you build a GPU,sports,955,186,Jaso1024,2026-04-09T04:02:16.206373
47637377,LÖVE: 2D Game Framework for Lua,sports,414,215,cl3misch,2026-04-09T04:02:18.470882
47691869,Façade (2005 Video Game),sports,5,0,jjmarr,2026-04-09T04:02:25.850196
47681453,"Sports bets on prediction markets ruled to be ""swaps,"" exempt from state laws",sports,19,6,nradov,2026-04-09T04:02:29.246275
47639727,"When legal sports betting surges, so do Americans' financial problems",sports,222,147,pseudolus,2026-04-09T04:02:31.601956
47633676,"Extra usage credit for Pro, Max, and Team plans",sports,64,62,angst,2026-04-09T04:02:33.868043
47667008,Show HN: I built a site that turns your Steam gaming hours into a RL skill tree,sports,8,9,naorz,2026-04-09T04:02:35.503300
47644726,"Power-washing, pool-cleaning and mowing – playing games about mundane jobs",sports,24,4,andsoitis,2026-04-09T04:02:35.736013
47641615,Sopwith – 1984 Game (2000),sports,99,42,elvis70,2026-04-09T04:02:38.538070
47622717,Study investigates how mass distribution of baseball bat affects performance,science,23,17,Magi604,2026-04-09T04:02:43.749127
47627217,Running out of disk space in production,science,218,123,romes,2026-04-09T04:02:49.001845
47650502,Computational Physics (2nd Edition) (2025),science,184,22,teleforce,2026-04-09T04:02:56.912559
47694520,Gmail / Google Workspace Incendent Underway,science,8,2,vapemaster,2026-04-09T04:02:57.805867
47665207,SOM: A minimal Smalltalk for teaching of and research on Virtual Machines,science,55,0,tosh,2026-04-09T04:02:57.946874
47691409,Reproducibility and robustness of economics and political science research,science,5,0,lamename,2026-04-09T04:03:00.496762
47656303,Case study: recovery of a corrupted 12 TB multi-device pool,science,116,65,salt4034,2026-04-09T04:03:00.739836
47648404,My Google Workspace account suspension,science,369,221,zenincognito,2026-04-09T04:03:08.228811
47629485,A case study in testing with 100+ Claude agents in parallel,science,67,54,thejash,2026-04-09T04:03:09.149362
47666398,Show HN: A (marginally) useful x86-64 ELF executable in 301 bytes,entertainment,7,1,meribold,2026-04-09T04:03:19.898216
47696562,Show HN: Is Hormuz open yet?,entertainment,297,132,anonfunction,2026-04-09T04:03:20.204817
47694036,Show HN: Orange Juice – Small UX improvements that make HN easier to read,entertainment,97,122,latchkey,2026-04-09T04:03:20.358679
47676561,Teardown of unreleased LG Rollable shows why rollable phones aren't a thing,entertainment,86,38,DamnInteresting,2026-04-09T04:03:20.662806
47689319,Show HN: Skrun – Deploy any agent skill as an API,entertainment,49,9,frizull,2026-04-09T04:03:20.981473
47690797,Show HN: Go-Bt: Minimalist Behavior Trees for Go,entertainment,56,7,rvitorper,2026-04-09T04:03:21.513264
47692661,Show HN: TUI-use: Let AI agents control interactive terminal programs,entertainment,38,35,dreamsome,2026-04-09T04:03:21.604043
47697679,I built a tool to let you export your X bookmarks and categorize them,entertainment,12,7,xarchive,2026-04-09T04:03:21.673865
